,Date,Year,DOY,Month,Day,code_1,code_2,code_3,code_4,code_5,code_6,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,median_1,median_2,median_3,median_4,median_5,median_6,sd_1,sd_2,sd_3,sd_4,sd_5,sd_6,X2.5th_1,X2.5th_2,X2.5th_3,X2.5th_4,X2.5th_5,X2.5th_6,X97.5th_1,X97.5th_2,X97.5th_3,X97.5th_4,X97.5th_5,X97.5th_6
1,1/1/2008,2008,1,1,1,1,NA,1,NA,1,NA,0.0479875,NA,0.258073171,NA,0.258682927,NA,0.0479875,NA,0.258073171,NA,0.258682927,NA,0,NA,0,NA,0,NA,0.0479875,NA,0.258073171,NA,0.258682927,NA,0.0479875,NA,0.258073171,NA,0.258682927,NA
2,1/2/2008,2008,2,1,2,1,NA,1,NA,1,NA,0.046788889,NA,0.246755556,NA,0.258633333,NA,0.046788889,NA,0.246755556,NA,0.258633333,NA,0,NA,0,NA,0,NA,0.046788889,NA,0.246755556,NA,0.258633333,NA,0.046788889,NA,0.246755556,NA,0.258633333,NA
3,1/3/2008,2008,3,1,3,1,NA,1,NA,1,NA,0.048440476,NA,0.236559524,NA,0.258404762,NA,0.048440476,NA,0.236559524,NA,0.258404762,NA,0,NA,0,NA,0,NA,0.048440476,NA,0.236559524,NA,0.258404762,NA,0.048440476,NA,0.236559524,NA,0.258404762,NA
4,1/4/2008,2008,4,1,4,1,NA,1,NA,1,NA,0.0554,NA,0.233655556,NA,0.257722222,NA,0.0554,NA,0.233655556,NA,0.257722222,NA,0,NA,0,NA,0,NA,0.0554,NA,0.233655556,NA,0.257722222,NA,0.0554,NA,0.233655556,NA,0.257722222,NA
5,1/5/2008,2008,5,1,5,1,NA,1,NA,1,NA,0.061311111,NA,0.236644444,NA,0.257877778,NA,0.061311111,NA,0.236644444,NA,0.257877778,NA,0,NA,0,NA,0,NA,0.061311111,NA,0.236644444,NA,0.257877778,NA,0.061311111,NA,0.236644444,NA,0.257877778,NA
6,1/6/2008,2008,6,1,6,1,NA,1,NA,1,NA,0.065422222,NA,0.241233333,NA,0.256133333,NA,0.065422222,NA,0.241233333,NA,0.256133333,NA,0,NA,0,NA,0,NA,0.065422222,NA,0.241233333,NA,0.256133333,NA,0.065422222,NA,0.241233333,NA,0.256133333,NA
7,1/7/2008,2008,7,1,7,1,NA,1,NA,1,NA,0.07,NA,0.243979167,NA,0.256,NA,0.07,NA,0.243979167,NA,0.256,NA,0,NA,0,NA,0,NA,0.07,NA,0.243979167,NA,0.256,NA,0.07,NA,0.243979167,NA,0.256,NA
8,1/8/2008,2008,8,1,8,1,NA,1,NA,1,NA,0.072277778,NA,0.246455556,NA,0.256,NA,0.072277778,NA,0.246455556,NA,0.256,NA,0,NA,0,NA,0,NA,0.072277778,NA,0.246455556,NA,0.256,NA,0.072277778,NA,0.246455556,NA,0.256,NA
9,1/9/2008,2008,9,1,9,1,NA,1,NA,1,NA,0.072041667,NA,0.251,NA,0.256,NA,0.072041667,NA,0.251,NA,0.256,NA,0,NA,0,NA,0,NA,0.072041667,NA,0.251,NA,0.256,NA,0.072041667,NA,0.251,NA,0.256,NA
10,1/10/2008,2008,10,1,10,1,NA,1,NA,1,NA,0.073466667,NA,0.252133333,NA,0.257311111,NA,0.073466667,NA,0.252133333,NA,0.257311111,NA,0,NA,0,NA,0,NA,0.073466667,NA,0.252133333,NA,0.257311111,NA,0.073466667,NA,0.252133333,NA,0.257311111,NA
11,1/11/2008,2008,11,1,11,1,NA,1,NA,1,NA,0.072088889,NA,0.254033333,NA,0.258411111,NA,0.072088889,NA,0.254033333,NA,0.258411111,NA,0,NA,0,NA,0,NA,0.072088889,NA,0.254033333,NA,0.258411111,NA,0.072088889,NA,0.254033333,NA,0.258411111,NA
12,1/12/2008,2008,12,1,12,1,NA,1,NA,1,NA,0.0681,NA,0.2548,NA,0.257577778,NA,0.0681,NA,0.2548,NA,0.257577778,NA,0,NA,0,NA,0,NA,0.0681,NA,0.2548,NA,0.257577778,NA,0.0681,NA,0.2548,NA,0.257577778,NA
13,1/13/2008,2008,13,1,13,1,NA,1,NA,1,NA,0.06225,NA,0.253166667,NA,0.255535714,NA,0.06225,NA,0.253166667,NA,0.255535714,NA,0,NA,0,NA,0,NA,0.06225,NA,0.253166667,NA,0.255535714,NA,0.06225,NA,0.253166667,NA,0.255535714,NA
14,1/14/2008,2008,14,1,14,1,NA,1,NA,1,NA,0.058722222,NA,0.250733333,NA,0.256,NA,0.058722222,NA,0.250733333,NA,0.256,NA,0,NA,0,NA,0,NA,0.058722222,NA,0.250733333,NA,0.256,NA,0.058722222,NA,0.250733333,NA,0.256,NA
15,1/15/2008,2008,15,1,15,1,NA,1,NA,1,NA,0.0575,NA,0.246404762,NA,0.256,NA,0.0575,NA,0.246404762,NA,0.256,NA,0,NA,0,NA,0,NA,0.0575,NA,0.246404762,NA,0.256,NA,0.0575,NA,0.246404762,NA,0.256,NA
16,1/16/2008,2008,16,1,16,1,NA,1,NA,1,NA,0.056577778,NA,0.242133333,NA,0.254966667,NA,0.056577778,NA,0.242133333,NA,0.254966667,NA,0,NA,0,NA,0,NA,0.056577778,NA,0.242133333,NA,0.254966667,NA,0.056577778,NA,0.242133333,NA,0.254966667,NA
17,1/17/2008,2008,17,1,17,1,NA,1,NA,1,NA,0.049797619,NA,0.237392857,NA,0.254333333,NA,0.049797619,NA,0.237392857,NA,0.254333333,NA,0,NA,0,NA,0,NA,0.049797619,NA,0.237392857,NA,0.254333333,NA,0.049797619,NA,0.237392857,NA,0.254333333,NA
18,1/18/2008,2008,18,1,18,1,NA,1,NA,1,NA,0.047388889,NA,0.226233333,NA,0.256455556,NA,0.047388889,NA,0.226233333,NA,0.256455556,NA,0,NA,0,NA,0,NA,0.047388889,NA,0.226233333,NA,0.256455556,NA,0.047388889,NA,0.226233333,NA,0.256455556,NA
19,1/19/2008,2008,19,1,19,1,NA,1,NA,1,NA,0.044833333,NA,0.197238095,NA,0.25447619,NA,0.044833333,NA,0.197238095,NA,0.25447619,NA,0,NA,0,NA,0,NA,0.044833333,NA,0.197238095,NA,0.25447619,NA,0.044833333,NA,0.197238095,NA,0.25447619,NA
20,1/20/2008,2008,20,1,20,1,NA,1,NA,1,NA,0.046077778,NA,0.158033333,NA,0.2535,NA,0.046077778,NA,0.158033333,NA,0.2535,NA,0,NA,0,NA,0,NA,0.046077778,NA,0.158033333,NA,0.2535,NA,0.046077778,NA,0.158033333,NA,0.2535,NA
